Borough Name,BIN Number,Permit Expiration Date,Permit Issuance Date,Permit Number,Permit Type,Permit Status,Job Number,Job Type,Horizontal Enlargement Flag,Vertical Enlargement Flag,Current Job Status Description,Total Construction Floor Area,Proposed Dwelling Units,Proposed Stories,Estimated Job Cost,Job Location Street Name,Block,Lot,Community Board,Applicant Business Name,Latitude Point,Longitude Point
BROOKLYN,3048282,6/26/2022,12/28/2021,B00522931-S3-FN,,Permit Issued,B00522931-S3,ALT-CO - New Building with Existing Elements to Remain,,Yes,Permit Entire,13873.0,1,6,1000.0,16 SPENCER STREET  BROOKLYN,1715,42,303,B CONTRACTORS GROUP LLC,40.69854,-73.95624
BROOKLYN,3049298,7/24/2022,12/29/2021,B00577173-I1-GC,,Permit Issued,B00577173-I1,Alteration CO,Yes,Yes,Permit Entire,3858.22,2,2,478000.0,41 PULASKI STREET  BROOKLYN,1770,76,303,BLUE SHINE BUILDERS INC,40.69251,-73.95009
BROOKLYN,3050512,5/5/2022,7/19/2021,B00491008-I1-GC,,Permit Issued,B00491008-I1,Alteration CO,Yes,,Permit Entire,4646.0,4,4,448375.0,680 GREENE AVENUE  BROOKLYN,1801,16,303,PARK MANAGEMENT USA CORP,40.68928,-73.94145
BROOKLYN,3050787,2/3/2022,9/3/2021,B00508490-I1-GC-CX,,Permit Issued,B00508490-I1,Alteration CO,Yes,Yes,Permit Entire,3384.0,2,4,263000.0,507 QUINCY STREET  BROOKLYN,1806,46,303,FANTASTIC RENOVATIONS &,40.68848,-73.93945
BROOKLYN,3051847,1/22/2022,1/5/2022,B00482243-I1-GC,,Permit Issued,B00482243-I1,Alteration CO,Yes,Yes,Permit Entire,5198.0,5,4,616560.0,226 PUTNAM AVENUE  BROOKLYN,1827,30,303,VIOLATION REMOVAL 18 INC,40.68355,-73.9522
BROOKLYN,3054187,8/31/2022,1/6/2022,B00502755-S5-ST,,Permit Issued,B00502755-S5,Alteration CO,,Yes,Permit Entire,28394.54,0,2,2500.0,36 TAAFFE PLACE  BROOKLYN,1881,41,303,CDF CUSTOM BUILDERS INC,40.69777,-73.96113
BROOKLYN,3055563,6/21/2022,12/27/2021,B00479025-I1-GC,,Permit Issued,B00479025-I1,Alteration CO,No,Yes,Permit Entire,3900.0,1,4,1043850.0,11 CLIFTON PLACE  BROOKLYN,1947,46,302,COBURN CONSTRUCTION MANAG,40.68793,-73.96376
BROOKLYN,3058411,7/7/2022,12/10/2021,B00525904-S2-SE,,Permit Issued,B00525904-S2,Alteration CO,Yes,Yes,Permit Entire,182395.0,477,21,100.0,240 WILLOUGHBY STREET  BROOKLYN,2088,25,302,GALAXY DEVELOPERS LLC,40.69159,-73.97787
BROOKLYN,3061685,6/5/2022,12/31/2021,B00549914-I1-GC,,Permit Issued,B00549914-I1,Alteration CO,,Yes,Permit Entire,2000.0,0,1,124200.0,149 NORTH    9 STREET  BROOKLYN,2304,29,301,OLIWA CONSTRUCTION INC,40.71931,-73.95669
BROOKLYN,3062046,9/1/2022,9/13/2021,B00532999-I1-GC,,Permit Issued,B00532999-I1,ALT-CO - New Building with Existing Elements to Remain,Yes,Yes,Permit Entire,3000.0,0,2,654000.0,75 NORTH    6 STREET  BROOKLYN,2326,1,301,LACHMAN CONSTRUCTION & DE,40.71895,-73.96078
BROOKLYN,3062182,4/1/2022,7/28/2021,B00499911-I1-GC,,Permit Issued,B00499911-I1,Alteration CO,Yes,,Permit Entire,6462.0,0,1,675000.0,136 NORTH    6 STREET  BROOKLYN,2335,6,301,CAVAN BUILDERS CORP,40.71778,-73.95944
BROOKLYN,3064500,3/29/2022,12/22/2021,B00535431-S1-GC-CX,,Permit Issued,B00535431-S1,ALT-CO - New Building with Existing Elements to Remain,Yes,Yes,Permit Entire,5872.0,5,4,1050560.0,183 JAVA STREET  BROOKLYN,2541,49,301,BUSKO REALTY CORP,40.73195,-73.95327
BROOKLYN,3070930,2/2/2022,11/3/2021,B00530238-I1-GC,,Permit Issued,B00530238-I1,Alteration CO,Yes,,Permit Entire,5440.0,8,4,106600.0,32 SCHOLES STREET  BROOKLYN,3040,20,301,CONSTRUCTION AND MAINTEN,40.70797,-73.94916
BROOKLYN,3075349,4/16/2022,8/24/2021,B00490617-I1-GC,,Permit Issued,B00490617-I1,ALT-CO - New Building with Existing Elements to Remain,No,Yes,Permit Entire,6405.0,8,4,1051920.0,923 BUSHWICK AVENUE  BROOKLYN,3295,39,304,IMPACT BUILDERS CORP,40.69318,-73.92411
BROOKLYN,3080127,2/27/2022,11/4/2021,B00506919-I1-GC,,Permit Issued,B00506919-I1,ALT-CO - New Building with Existing Elements to Remain,,Yes,Permit Entire,4345.0,6,4,80000.0,128 MOFFAT STREET  BROOKLYN,3446,12,304,ACCRETE CONSTRUCTION GROU,40.68626,-73.90731
BROOKLYN,3094361,4/25/2022,9/29/2021,B00498377-I1-GC-CX,,Permit Issued,B00498377-I1,Alteration CO,Yes,,Permit Entire,1000.0,1,2,200600.0,1108 LIBERTY AVENUE  BROOKLYN,4201,20,305,BANU CONSTRUCTION CORP,40.67829,-73.86839
BROOKLYN,3099118,4/12/2022,11/17/2021,B00482269-S3-SE,,Permit Issued,B00482269-S3,New Building,,,Permit Entire,57381.0,48,8,100.0,906 EAST NEW YORK AVENUE  BROOKLYN,4588,76,309,ABECO CONSTRUCTION LLC,40.66246,-73.93263
BROOKLYN,3109525,5/14/2022,1/18/2022,B00500344-S2-SE,,Permit Issued,B00500344-S2,New Building,,,Permit Entire,5617.0,3,3,46111.11,929 BROOKLYN AVENUE  BROOKLYN,4890,1,317,EMPIRE GROUP NYC LLC,40.65077,-73.94354
BROOKLYN,3121755,8/21/2022,12/15/2021,B00567997-I1-GC-CX,,Permit Issued,B00567997-I1,Alteration CO,,Yes,Permit Entire,2949.0,1,3,191485.0,1713 11 AVENUE  BROOKLYN,5254,5,307,ABSOLUTE COMFORT SOLUTION,40.65517,-73.97795
BROOKLYN,3122552,7/25/2022,10/21/2021,B00552529-I1-GC,,Permit Issued,B00552529-I1,Alteration CO,,Yes,Permit Entire,2243.0,1,3,224300.0,65 REEVE PLACE  BROOKLYN,5275,86,307,BAYPORT CONSTRUCTION CORP,40.65368,-73.97428
BROOKLYN,3128274,8/30/2022,11/10/2021,B00546771-S5-FN,,Permit Issued,B00546771-S5,ALT-CO - New Building with Existing Elements to Remain,Yes,Yes,Permit Entire,4969.0,2,3,1000.0,1537 44 STREET  BROOKLYN,5430,63,312,BHY CONTRACTOR INC,40.63474,-73.98363
BROOKLYN,3129901,4/23/2022,11/4/2021,B00504231-S5-ST,,Permit Issued,B00504231-S5,New Building,,,Permit Entire,11432.0,1,3,171015.0,1626 52 STREET  BROOKLYN,5472,18,312,PARK PREMIUM ENTERPRISES,40.62877,-73.98675
BROOKLYN,3132723,3/28/2022,1/13/2022,B00490622-S4-ST,,Permit Issued,B00490622-S4,ALT-CO - New Building with Existing Elements to Remain,Yes,Yes,Permit Entire,13040.0,0,2,100.0,6224 17 AVENUE  BROOKLYN,5531,48,311,LOWVOLT TECH ENTERPRISES,40.62195,-73.99133
BROOKLYN,3135678,6/11/2022,12/13/2021,B00480564-S4-FN,,Permit Issued,B00480564-S4,Alteration CO,Yes,,Permit Entire,4504.0,2,3,5000.0,1250 41 STREET  BROOKLYN,5593,23,312,SUPREME CONSTRUCTION OF N,40.6399,-73.98856
BROOKLYN,3136121,2/7/2022,12/28/2021,B00508606-S4-PL,,Permit Issued,B00508606-S4,Alteration CO,Yes,Yes,Permit Entire,4408.0,3,3,1000.0,1165 44 STREET  BROOKLYN,5603,64,312,AL PLUMBING & CONT. INC,40.63992,-73.99222
BROOKLYN,3138559,6/1/2022,1/11/2022,B00504298-S1-FN,,Permit Issued,B00504298-S1,ALT-CO - New Building with Existing Elements to Remain,Yes,Yes,Permit Entire,8361.0,5,4,3000.0,917 53 STREET  BROOKLYN,5659,73,312,AVENTADOR CONSTRUCTION IN,40.63797,-74.00257
BROOKLYN,3138661,1/26/2022,1/17/2022,B00530456-I1-GC,,Permit Issued,B00530456-I1,Alteration CO,Yes,Yes,Permit Entire,5087.05,2,3,843043.75,5221 12 AVENUE  BROOKLYN,5662,2,312,WJP BUILDERS CORP,40.63409,-73.99626
BROOKLYN,3140181,6/1/2022,1/11/2022,B00499626-S5-FN,,Permit Issued,B00499626-S5,ALT-CO - New Building with Existing Elements to Remain,Yes,Yes,Permit Entire,7495.0,5,4,2000.0,848 57 STREET  BROOKLYN,5693,26,312,AVENTADOR CONSTRUCTION IN,40.63629,-74.00676
BROOKLYN,3142540,3/2/2022,10/12/2021,B00481471-S6-GC-CX,,Permit Issued,B00481471-S6,ALT-CO - New Building with Existing Elements to Remain,Yes,,Permit Entire,5144.0,2,3,393200.0,1225 67 STREET  BROOKLYN,5760,68,310,SPLEN CONSTRUCTION INC,40.62591,-74.00407
BROOKLYN,3159487,4/25/2022,7/26/2021,B00478418-I1-GC-CX,,Permit Issued,B00478418-I1,Alteration CO,Yes,,Permit Entire,1171.0,1,2,79700.0,1439 BAY RIDGE PARKWAY  BROOKLYN,6212,60,311,HIGH QUALITY CONSTRUCTION,40.6185,-74.00388
BROOKLYN,3162482,2/24/2022,8/6/2021,B00491741-I1-GC-CX,,Permit Issued,B00491741-I1,Alteration CO,Yes,No,Permit Entire,5118.83,2,2,304325.0,7923 12 AVENUE  BROOKLYN,6267,1,310,DE VEGA CONTRACTING LTD,40.61879,-74.01218
BROOKLYN,3171011,4/12/2022,8/17/2021,B00537488-I1-GC,,Permit Issued,B00537488-I1,Alteration CO,Yes,,Permit Entire,4450.0,1,3,458875.0,957 EAST   10 STREET  BROOKLYN,6523,61,312,ABECO CONSTRUCTION LLC,40.62566,-73.96608
BROOKLYN,3175152,3/26/2022,12/21/2021,B00522481-S6-PL,,Permit Issued,B00522481-S6,Alteration CO,,Yes,Permit Entire,3623.0,1,2,1000.0,1558 EAST   10 STREET  BROOKLYN,6616,29,312,TOP DOG PLBG & HTG CORP,40.61098,-73.96387
BROOKLYN,3178530,4/12/2022,11/4/2021,B00485238-I1-GC,,Permit Issued,B00485238-I1,ALT-CO - New Building with Existing Elements to Remain,,Yes,Permit Entire,15088.0,0,2,1351220.0,347 AVENUE S  BROOKLYN,6681,2,315,ABECO CONSTRUCTION LLC,40.60201,-73.97219
BROOKLYN,3179450,5/1/2022,1/14/2022,B00553703-S2-PL,,Permit Issued,B00553703-S2,Alteration CO,Yes,Yes,Permit Entire,159.0,1,2,34000.0,879 EAST   19 STREET  BROOKLYN,6703,27,314,JODOM MECHANICAL  INC,40.62922,-73.95797
BROOKLYN,3179712,5/26/2022,12/22/2021,B00518185-S3-FO,,Permit Issued,B00518185-S3,Alteration CO,,Yes,Permit Entire,5408.94,1,2,1000.0,1000 EAST   18 STREET  BROOKLYN,6710,12,314,BROOKLYN CONTRACTOR INC,40.62628,-73.95898
BROOKLYN,3181464,5/8/2022,12/28/2021,B00598652-I1-GC,,Permit Issued,B00598652-I1,New Building,,,Permit Issued,1803.46,2,2,333800.0,1492 EAST   17 STREET  BROOKLYN,6754,43,314,SUPERB CONSTRUCTION MGT,40.61373,-73.95767
BROOKLYN,3191472,2/25/2022,10/26/2021,B00551616-S3-FO,,Permit Issued,B00551616-S3,Alteration CO,Yes,Yes,Permit Entire,3944.0,1,3,1000.0,1954 EAST    1 STREET  BROOKLYN,7104,85,315,G BUILDERS MANAGEMENT INC,40.60054,-73.97148
BROOKLYN,3194566,4/6/2022,10/19/2021,B00514448-I1-GC,,Permit Issued,B00514448-I1,ALT-CO - New Building with Existing Elements to Remain,Yes,Yes,Permit Entire,5569.0,1,3,1400000.0,2344 EAST    1 STREET  BROOKLYN,7176,24,315,BUILDERS JOSEPH AND SONS,40.59165,-73.96978
BROOKLYN,3194613,6/17/2022,11/29/2021,B00554352-S4-FO,,Permit Issued,B00554352-S4,Alteration CO,Yes,Yes,Permit Entire,2667.0,1,3,1000.0,2326 EAST    2 STREET  BROOKLYN,7177,12,315,RHY CONSTRUCTION LLC,40.59242,-73.96898
BROOKLYN,3199647,4/25/2022,12/8/2021,B00600027-I1-GC,,Permit Issued,B00600027-I1,New Building,,,Permit Entire,1040.0,3,3,93600.0,2139 EAST   16 STREET  BROOKLYN,7349,61,315,HIGH QUALITY CONSTRUCTION,40.59793,-73.955
BROOKLYN,3201709,6/30/2022,11/15/2021,B00498223-I1-GC-CX,,Permit Issued,B00498223-I1,Alteration CO,Yes,,Permit Entire,3549.0,1,2,457702.0,1206 AVENUE W  BROOKLYN,7396,2,315,SARCONA MASONRY CONTRACTI,40.59369,-73.9591
BROOKLYN,3215140,4/2/2022,12/29/2021,B00597230-I1-GC-CX,,Permit Issued,B00597230-I1,Alteration CO,Yes,,Permit Entire,1142.0,2,3,234075.0,1085 EAST   42 STREET  BROOKLYN,7768,18,318,EXPERTDESIGNERS DESIGN,40.62848,-73.93535
BROOKLYN,3219345,5/29/2022,10/19/2021,B00570468-I1-GC,,Permit Issued,B00570468-I1,Alteration CO,Yes,,Permit Entire,1306.0,1,2,21000.0,3815 QUENTIN ROAD  BROOKLYN,7862,3,318,BELL CONSTRUCTION OF NY,40.61607,-73.93511
BROOKLYN,3242908,2/21/2022,9/14/2021,B00558417-S1-FN,,Permit Issued,B00558417-S1,Alteration CO,Yes,,Permit Entire,8475.0,1,3,10000.0,2383 56 DRIVE  BROOKLYN,8604,3,318,DYNAMIC DEVELOPMENT AND C,40.60473,-73.909
BROOKLYN,3242943,2/18/2022,1/13/2022,B00519372-I1-GC,,Permit Issued,B00519372-I1,Alteration CO,Yes,Yes,Permit Entire,5600.22,1,2,450000.0,449 MAYFAIR DRIVE  BROOKLYN,8607,9,318,FIRST CNSTRCTION ZONE INC,40.60734,-73.90793
BROOKLYN,3245452,9/6/2022,1/20/2022,B00544050-I1-GC,,Permit Issued,B00544050-I1,New Building,,,Permit Entire,30609.0,0,8,6121800.0,23 BRIGHTON   11 STREET  BROOKLYN,8711,14,313,G-NADO INC,40.58184,-73.95601
BROOKLYN,3248273,6/16/2022,10/28/2021,B00565853-I1-GC,,Permit Issued,B00565853-I1,Alteration CO,,Yes,Permit Entire,2741.5,1,2,0.0,2332 BURNETT STREET  BROOKLYN,8824,18,315,EFFICIENT CLIMATE SOLUTIO,40.60024,-73.9312
BROOKLYN,3248298,12/12/2022,1/7/2022,B00501187-I1-GC,,Permit Issued,B00501187-I1,New Building,,,Permit Entire,13482.0,9,3,1000.0,2339 STUART STREET  BROOKLYN,8824,56,315,JONICO CONSTRUCTION LLC,40.59991,-73.93131
BROOKLYN,3252630,4/29/2022,10/5/2021,B00502080-S4-FN,,Permit Issued,B00502080-S4,New Building,,,Permit Entire,5000.0,0,1,250.0,482 SNEDIKER AVENUE  BROOKLYN,3816,35,305,RELIANT BUILDERS CORP,40.66312,-73.89967
